Mach,Alpha,CD_Off,CD_On
0.01,0.0,0.324,0.303
0.02,0.0,0.346,0.325
0.03,0.0,0.347,0.326
0.04,0.0,0.344,0.323
0.05,0.0,0.341,0.32
0.06,0.0,0.338,0.317
0.07,0.0,0.335,0.314
0.08,0.0,0.332,0.311
0.09,0.0,0.33,0.308
0.1,0.0,0.328,0.307
0.11,0.0,0.328,0.307
0.12,0.0,0.328,0.307
0.13,0.0,0.328,0.307
0.14,0.0,0.328,0.307
0.15,0.0,0.328,0.307
0.16,0.0,0.328,0.307
0.17,0.0,0.328,0.306
0.18,0.0,0.328,0.306
0.19,0.0,0.328,0.306
0.2,0.0,0.328,0.306
0.21,0.0,0.328,0.306
0.22,0.0,0.328,0.306
0.23,0.0,0.328,0.306
0.24,0.0,0.328,0.306
0.25,0.0,0.327,0.306
0.26,0.0,0.327,0.306
0.27,0.0,0.328,0.306
0.28,0.0,0.328,0.306
0.29,0.0,0.328,0.306
0.3,0.0,0.328,0.306
0.31,0.0,0.328,0.306
0.32,0.0,0.328,0.306
0.33,0.0,0.328,0.306
0.34,0.0,0.328,0.306
0.35,0.0,0.328,0.306
0.36,0.0,0.328,0.306
0.37,0.0,0.328,0.306
0.38,0.0,0.328,0.306
0.39,0.0,0.328,0.306
0.4,0.0,0.328,0.306
0.41,0.0,0.328,0.306
0.42,0.0,0.328,0.306
0.43,0.0,0.328,0.306
0.44,0.0,0.328,0.306
0.45,0.0,0.328,0.306
0.46,0.0,0.328,0.306
0.47,0.0,0.328,0.307
0.48,0.0,0.328,0.307
0.49,0.0,0.328,0.307
0.5,0.0,0.328,0.307
0.51,0.0,0.328,0.307
0.52,0.0,0.328,0.307
0.53,0.0,0.328,0.307
0.54,0.0,0.328,0.307
0.55,0.0,0.328,0.307
0.56,0.0,0.328,0.307
0.57,0.0,0.328,0.307
0.58,0.0,0.328,0.307
0.59,0.0,0.328,0.306
0.6,0.0,0.328,0.306
0.61,0.0,0.328,0.306
0.62,0.0,0.328,0.305
0.63,0.0,0.329,0.305
0.64,0.0,0.329,0.305
0.65,0.0,0.329,0.304
0.66,0.0,0.329,0.304
0.67,0.0,0.329,0.304
0.68,0.0,0.329,0.303
0.69,0.0,0.329,0.303
0.7,0.0,0.329,0.303
0.71,0.0,0.33,0.303
0.72,0.0,0.33,0.302
0.73,0.0,0.33,0.302
0.74,0.0,0.33,0.302
0.75,0.0,0.33,0.301
0.76,0.0,0.33,0.301
0.77,0.0,0.33,0.301
0.78,0.0,0.33,0.3
0.79,0.0,0.331,0.3
0.8,0.0,0.331,0.3
0.81,0.0,0.331,0.299
0.82,0.0,0.331,0.299
0.83,0.0,0.331,0.299
0.84,0.0,0.331,0.299
0.85,0.0,0.331,0.298
0.86,0.0,0.331,0.298
0.87,0.0,0.332,0.298
0.88,0.0,0.332,0.297
0.89,0.0,0.332,0.297
0.9,0.0,0.332,0.297
0.91,0.0,0.334,0.299
0.92,0.0,0.341,0.305
0.93,0.0,0.354,0.316
0.94,0.0,0.37,0.331
0.95,0.0,0.386,0.345
0.96,0.0,0.402,0.359
0.97,0.0,0.419,0.373
0.98,0.0,0.435,0.387
0.99,0.0,0.451,0.401
1.0,0.0,0.467,0.415
1.01,0.0,0.483,0.429
1.02,0.0,0.499,0.444
1.03,0.0,0.515,0.458
1.04,0.0,0.531,0.472
1.05,0.0,0.548,0.486
1.06,0.0,0.546,0.485
1.07,0.0,0.545,0.484
1.08,0.0,0.544,0.484
1.09,0.0,0.543,0.483
1.1,0.0,0.542,0.482
1.11,0.0,0.541,0.481
1.12,0.0,0.54,0.481
1.13,0.0,0.539,0.48
1.14,0.0,0.538,0.479
1.15,0.0,0.538,0.479
1.16,0.0,0.536,0.477
1.17,0.0,0.534,0.476
1.18,0.0,0.533,0.475
1.19,0.0,0.531,0.473
1.2,0.0,0.529,0.472
1.21,0.0,0.528,0.47
1.22,0.0,0.526,0.468
1.23,0.0,0.524,0.466
1.24,0.0,0.522,0.465
1.25,0.0,0.521,0.463
1.26,0.0,0.519,0.461
1.27,0.0,0.518,0.46
1.28,0.0,0.516,0.458
1.29,0.0,0.514,0.457
1.3,0.0,0.513,0.455
1.31,0.0,0.511,0.453
1.32,0.0,0.509,0.451
1.33,0.0,0.507,0.449
1.34,0.0,0.505,0.447
1.35,0.0,0.503,0.445
1.36,0.0,0.501,0.443
1.37,0.0,0.499,0.441
1.38,0.0,0.497,0.439
1.39,0.0,0.495,0.437
1.4,0.0,0.493,0.436
1.41,0.0,0.492,0.434
1.42,0.0,0.49,0.432
1.43,0.0,0.488,0.43
1.44,0.0,0.486,0.428
1.45,0.0,0.484,0.427
1.46,0.0,0.483,0.425
1.47,0.0,0.481,0.423
1.48,0.0,0.479,0.421
1.49,0.0,0.477,0.42
1.5,0.0,0.476,0.418
1.51,0.0,0.474,0.416
1.52,0.0,0.472,0.414
1.53,0.0,0.47,0.413
1.54,0.0,0.469,0.411
1.55,0.0,0.467,0.409
1.56,0.0,0.465,0.408
1.57,0.0,0.464,0.406
1.58,0.0,0.462,0.404
1.59,0.0,0.46,0.403
1.6,0.0,0.459,0.401
1.61,0.0,0.457,0.4
1.62,0.0,0.456,0.398
1.63,0.0,0.454,0.396
1.64,0.0,0.452,0.395
1.65,0.0,0.451,0.393
1.66,0.0,0.449,0.392
1.67,0.0,0.448,0.39
1.68,0.0,0.446,0.388
1.69,0.0,0.445,0.387
1.7,0.0,0.443,0.385
1.71,0.0,0.442,0.384
1.72,0.0,0.44,0.382
1.73,0.0,0.438,0.381
1.74,0.0,0.437,0.379
1.75,0.0,0.435,0.378
1.76,0.0,0.434,0.376
1.77,0.0,0.432,0.375
1.78,0.0,0.431,0.373
1.79,0.0,0.429,0.372
1.8,0.0,0.428,0.37
1.81,0.0,0.427,0.369
1.82,0.0,0.425,0.367
1.83,0.0,0.424,0.366
1.84,0.0,0.422,0.364
1.85,0.0,0.421,0.363
1.86,0.0,0.419,0.362
1.87,0.0,0.418,0.36
1.88,0.0,0.416,0.359
1.89,0.0,0.415,0.357
1.9,0.0,0.414,0.356
1.91,0.0,0.412,0.355
1.92,0.0,0.411,0.353
1.93,0.0,0.409,0.352
1.94,0.0,0.408,0.35
1.95,0.0,0.407,0.349
1.96,0.0,0.405,0.348
1.97,0.0,0.404,0.346
1.98,0.0,0.403,0.345
1.99,0.0,0.401,0.343
2.0,0.0,0.4,0.342
2.01,0.0,0.399,0.34
2.02,0.0,0.397,0.339
2.03,0.0,0.396,0.337
2.04,0.0,0.395,0.336
2.05,0.0,0.394,0.335
2.06,0.0,0.392,0.333
2.07,0.0,0.391,0.332
2.08,0.0,0.39,0.331
2.09,0.0,0.389,0.329
2.1,0.0,0.388,0.328
2.11,0.0,0.386,0.327
2.12,0.0,0.385,0.325
2.13,0.0,0.384,0.324
2.14,0.0,0.383,0.323
2.15,0.0,0.382,0.321
2.16,0.0,0.381,0.32
2.17,0.0,0.379,0.319
2.18,0.0,0.378,0.317
2.19,0.0,0.377,0.316
2.2,0.0,0.376,0.315
2.21,0.0,0.375,0.314
2.22,0.0,0.374,0.312
2.23,0.0,0.373,0.311
2.24,0.0,0.372,0.31
2.25,0.0,0.37,0.309
2.26,0.0,0.369,0.307
2.27,0.0,0.368,0.306
2.28,0.0,0.367,0.305
2.29,0.0,0.366,0.304
2.3,0.0,0.365,0.302
2.31,0.0,0.364,0.301
2.32,0.0,0.363,0.3
2.33,0.0,0.362,0.299
2.34,0.0,0.361,0.298
2.35,0.0,0.36,0.296
2.36,0.0,0.359,0.295
2.37,0.0,0.358,0.294
2.38,0.0,0.357,0.293
2.39,0.0,0.356,0.292
2.4,0.0,0.355,0.291
2.41,0.0,0.354,0.289
2.42,0.0,0.353,0.288
2.43,0.0,0.352,0.287
2.44,0.0,0.351,0.286
2.45,0.0,0.35,0.285
2.46,0.0,0.349,0.284
2.47,0.0,0.348,0.283
2.48,0.0,0.347,0.283
2.49,0.0,0.346,0.282
2.5,0.0,0.345,0.281
2.51,0.0,0.344,0.281
2.52,0.0,0.343,0.28
2.53,0.0,0.342,0.279
2.54,0.0,0.341,0.279
2.55,0.0,0.34,0.278
2.56,0.0,0.339,0.278
2.57,0.0,0.338,0.277
2.58,0.0,0.337,0.276
2.59,0.0,0.336,0.276
2.6,0.0,0.335,0.275
2.61,0.0,0.335,0.274
2.62,0.0,0.334,0.274
2.63,0.0,0.333,0.273
2.64,0.0,0.332,0.273
2.65,0.0,0.331,0.272
2.66,0.0,0.33,0.272
2.67,0.0,0.329,0.271
2.68,0.0,0.328,0.27
2.69,0.0,0.327,0.27
2.7,0.0,0.327,0.269
2.71,0.0,0.326,0.269
2.72,0.0,0.325,0.268
2.73,0.0,0.324,0.268
2.74,0.0,0.323,0.267
2.75,0.0,0.322,0.266
2.76,0.0,0.321,0.266
2.77,0.0,0.321,0.265
2.78,0.0,0.32,0.265
2.79,0.0,0.319,0.264
2.8,0.0,0.318,0.264
2.81,0.0,0.317,0.263
2.82,0.0,0.316,0.263
2.83,0.0,0.316,0.262
2.84,0.0,0.315,0.262
2.85,0.0,0.314,0.261
2.86,0.0,0.313,0.261
2.87,0.0,0.312,0.26
2.88,0.0,0.312,0.26
2.89,0.0,0.311,0.259
2.9,0.0,0.31,0.259
2.91,0.0,0.309,0.258
2.92,0.0,0.308,0.258
2.93,0.0,0.308,0.257
2.94,0.0,0.307,0.257
2.95,0.0,0.306,0.256
2.96,0.0,0.305,0.256
2.97,0.0,0.305,0.255
2.98,0.0,0.304,0.255
2.99,0.0,0.303,0.254
3.0,0.0,0.302,0.254
3.01,0.0,0.302,0.253
3.02,0.0,0.301,0.253
3.03,0.0,0.3,0.252
3.04,0.0,0.3,0.252
3.05,0.0,0.299,0.251
3.06,0.0,0.298,0.251
3.07,0.0,0.298,0.25
3.08,0.0,0.297,0.25
3.09,0.0,0.296,0.25
3.1,0.0,0.296,0.249
3.11,0.0,0.295,0.249
3.12,0.0,0.295,0.248
3.13,0.0,0.294,0.248
3.14,0.0,0.293,0.247
3.15,0.0,0.293,0.247
3.16,0.0,0.292,0.246
3.17,0.0,0.291,0.246
3.18,0.0,0.291,0.245
3.19,0.0,0.29,0.245
3.2,0.0,0.29,0.244
3.21,0.0,0.289,0.244
3.22,0.0,0.288,0.244
3.23,0.0,0.288,0.243
3.24,0.0,0.287,0.243
3.25,0.0,0.287,0.242
3.26,0.0,0.286,0.242
3.27,0.0,0.285,0.241
3.28,0.0,0.285,0.241
3.29,0.0,0.284,0.24
3.3,0.0,0.284,0.24
3.31,0.0,0.283,0.24
3.32,0.0,0.283,0.239
3.33,0.0,0.282,0.239
3.34,0.0,0.281,0.238
3.35,0.0,0.281,0.238
3.36,0.0,0.28,0.238
3.37,0.0,0.28,0.237
3.38,0.0,0.279,0.237
3.39,0.0,0.279,0.236
3.4,0.0,0.278,0.236
3.41,0.0,0.277,0.236
3.42,0.0,0.277,0.235
3.43,0.0,0.276,0.235
3.44,0.0,0.276,0.234
3.45,0.0,0.275,0.234
3.46,0.0,0.275,0.234
3.47,0.0,0.274,0.233
3.48,0.0,0.274,0.233
3.49,0.0,0.273,0.232
3.5,0.0,0.273,0.232
3.51,0.0,0.272,0.232
3.52,0.0,0.272,0.231
3.53,0.0,0.271,0.231
3.54,0.0,0.27,0.231
3.55,0.0,0.27,0.23
3.56,0.0,0.269,0.23
3.57,0.0,0.269,0.229
3.58,0.0,0.268,0.229
3.59,0.0,0.268,0.229
3.6,0.0,0.267,0.228
3.61,0.0,0.267,0.228
3.62,0.0,0.266,0.228
3.63,0.0,0.266,0.227
3.64,0.0,0.265,0.227
3.65,0.0,0.265,0.227
3.66,0.0,0.264,0.226
3.67,0.0,0.264,0.226
3.68,0.0,0.263,0.226
3.69,0.0,0.263,0.225
3.7,0.0,0.262,0.225
3.71,0.0,0.262,0.225
3.72,0.0,0.261,0.224
3.73,0.0,0.261,0.224
3.74,0.0,0.26,0.224
3.75,0.0,0.26,0.223
3.76,0.0,0.259,0.223
3.77,0.0,0.259,0.223
3.78,0.0,0.258,0.222
3.79,0.0,0.258,0.222
3.8,0.0,0.258,0.222
3.81,0.0,0.257,0.221
3.82,0.0,0.257,0.221
3.83,0.0,0.256,0.221
3.84,0.0,0.256,0.22
3.85,0.0,0.255,0.22
3.86,0.0,0.255,0.22
3.87,0.0,0.254,0.219
3.88,0.0,0.254,0.219
3.89,0.0,0.253,0.219
3.9,0.0,0.253,0.218
3.91,0.0,0.252,0.218
3.92,0.0,0.252,0.218
3.93,0.0,0.252,0.217
3.94,0.0,0.251,0.217
3.95,0.0,0.251,0.217
3.96,0.0,0.25,0.216
3.97,0.0,0.25,0.216
3.98,0.0,0.249,0.216
3.99,0.0,0.249,0.215
4.0,0.0,0.248,0.215
4.01,0.0,0.248,0.215
4.02,0.0,0.248,0.214
4.03,0.0,0.247,0.214
4.04,0.0,0.247,0.214
4.05,0.0,0.246,0.213
4.06,0.0,0.246,0.213
4.07,0.0,0.246,0.213
4.08,0.0,0.245,0.212
4.09,0.0,0.245,0.212
4.1,0.0,0.244,0.212
4.11,0.0,0.244,0.211
4.12,0.0,0.243,0.211
4.13,0.0,0.243,0.211
4.14,0.0,0.243,0.21
4.15,0.0,0.242,0.21
4.16,0.0,0.242,0.21
4.17,0.0,0.241,0.209
4.18,0.0,0.241,0.209
4.19,0.0,0.241,0.209
4.2,0.0,0.24,0.209
4.21,0.0,0.24,0.208
4.22,0.0,0.239,0.208
4.23,0.0,0.239,0.208
4.24,0.0,0.239,0.207
4.25,0.0,0.238,0.207
4.26,0.0,0.238,0.207
4.27,0.0,0.237,0.206
4.28,0.0,0.237,0.206
4.29,0.0,0.237,0.206
4.3,0.0,0.236,0.206
4.31,0.0,0.236,0.205
4.32,0.0,0.236,0.205
4.33,0.0,0.235,0.205
4.34,0.0,0.235,0.205
4.35,0.0,0.234,0.204
4.36,0.0,0.234,0.204
4.37,0.0,0.234,0.204
4.38,0.0,0.233,0.203
4.39,0.0,0.233,0.203
4.4,0.0,0.233,0.203
4.41,0.0,0.232,0.203
4.42,0.0,0.232,0.202
4.43,0.0,0.231,0.202
4.44,0.0,0.231,0.202
4.45,0.0,0.231,0.202
4.46,0.0,0.23,0.202
4.47,0.0,0.23,0.201
4.48,0.0,0.23,0.201
4.49,0.0,0.229,0.201
4.5,0.0,0.229,0.201
4.51,0.0,0.229,0.2
4.52,0.0,0.228,0.2
4.53,0.0,0.228,0.2
4.54,0.0,0.227,0.2
4.55,0.0,0.227,0.2
4.56,0.0,0.227,0.199
4.57,0.0,0.226,0.199
4.58,0.0,0.226,0.199
4.59,0.0,0.226,0.199
4.6,0.0,0.225,0.198
4.61,0.0,0.225,0.198
4.62,0.0,0.225,0.198
4.63,0.0,0.224,0.198
4.64,0.0,0.224,0.198
4.65,0.0,0.224,0.197
4.66,0.0,0.223,0.197
4.67,0.0,0.223,0.197
4.68,0.0,0.223,0.197
4.69,0.0,0.222,0.196
4.7,0.0,0.222,0.196
4.71,0.0,0.222,0.196
4.72,0.0,0.221,0.196
4.73,0.0,0.221,0.196
4.74,0.0,0.221,0.195
4.75,0.0,0.22,0.195
4.76,0.0,0.22,0.195
4.77,0.0,0.22,0.195
4.78,0.0,0.219,0.195
4.79,0.0,0.219,0.194
4.8,0.0,0.219,0.194
4.81,0.0,0.218,0.194
4.82,0.0,0.218,0.194
4.83,0.0,0.218,0.193
4.84,0.0,0.217,0.193
4.85,0.0,0.217,0.193
4.86,0.0,0.217,0.193
4.87,0.0,0.216,0.193
4.88,0.0,0.216,0.192
4.89,0.0,0.216,0.192
4.9,0.0,0.215,0.192
4.91,0.0,0.215,0.192
4.92,0.0,0.215,0.192
4.93,0.0,0.214,0.191
4.94,0.0,0.214,0.191
4.95,0.0,0.214,0.191
4.96,0.0,0.214,0.191
4.97,0.0,0.213,0.19
4.98,0.0,0.213,0.19
4.99,0.0,0.213,0.19
5.0,0.0,0.212,0.19
5.01,0.0,0.212,0.19
5.02,0.0,0.212,0.189
5.03,0.0,0.211,0.189
5.04,0.0,0.211,0.189
5.05,0.0,0.211,0.189
5.06,0.0,0.21,0.189
5.07,0.0,0.21,0.188
5.08,0.0,0.21,0.188
5.09,0.0,0.21,0.188
5.1,0.0,0.209,0.188
5.11,0.0,0.209,0.188
5.12,0.0,0.209,0.187
5.13,0.0,0.208,0.187
5.14,0.0,0.208,0.187
5.15,0.0,0.208,0.187
5.16,0.0,0.207,0.187
5.17,0.0,0.207,0.186
5.18,0.0,0.207,0.186
5.19,0.0,0.207,0.186
5.2,0.0,0.206,0.186
5.21,0.0,0.206,0.186
5.22,0.0,0.206,0.185
5.23,0.0,0.205,0.185
5.24,0.0,0.205,0.185
5.25,0.0,0.205,0.185
5.26,0.0,0.205,0.185
5.27,0.0,0.204,0.184
5.28,0.0,0.204,0.184
5.29,0.0,0.204,0.184
5.3,0.0,0.203,0.184
5.31,0.0,0.203,0.184
5.32,0.0,0.203,0.183
5.33,0.0,0.203,0.183
5.34,0.0,0.202,0.183
5.35,0.0,0.202,0.183
5.36,0.0,0.202,0.183
5.37,0.0,0.201,0.182
5.38,0.0,0.201,0.182
5.39,0.0,0.201,0.182
5.4,0.0,0.201,0.182
5.41,0.0,0.2,0.182
5.42,0.0,0.2,0.181
5.43,0.0,0.2,0.181
5.44,0.0,0.199,0.181
5.45,0.0,0.199,0.181
5.46,0.0,0.199,0.181
5.47,0.0,0.199,0.18
5.48,0.0,0.198,0.18
5.49,0.0,0.198,0.18
5.5,0.0,0.198,0.18
5.51,0.0,0.197,0.18
5.52,0.0,0.197,0.179
5.53,0.0,0.197,0.179
5.54,0.0,0.197,0.179
5.55,0.0,0.196,0.179
5.56,0.0,0.196,0.179
5.57,0.0,0.196,0.178
5.58,0.0,0.196,0.178
5.59,0.0,0.195,0.178
5.6,0.0,0.195,0.178
5.61,0.0,0.195,0.177
5.62,0.0,0.194,0.177
5.63,0.0,0.194,0.177
5.64,0.0,0.194,0.177
5.65,0.0,0.194,0.177
5.66,0.0,0.193,0.176
5.67,0.0,0.193,0.176
5.68,0.0,0.193,0.176
5.69,0.0,0.192,0.176
5.7,0.0,0.192,0.176
5.71,0.0,0.192,0.175
5.72,0.0,0.192,0.175
5.73,0.0,0.191,0.175
5.74,0.0,0.191,0.175
5.75,0.0,0.191,0.175
5.76,0.0,0.191,0.174
5.77,0.0,0.19,0.174
5.78,0.0,0.19,0.174
5.79,0.0,0.19,0.174
5.8,0.0,0.189,0.174
5.81,0.0,0.189,0.173
5.82,0.0,0.189,0.173
5.83,0.0,0.189,0.173
5.84,0.0,0.188,0.173
5.85,0.0,0.188,0.173
5.86,0.0,0.188,0.172
5.87,0.0,0.188,0.172
5.88,0.0,0.187,0.172
5.89,0.0,0.187,0.172
5.9,0.0,0.187,0.171
5.91,0.0,0.186,0.171
5.92,0.0,0.186,0.171
5.93,0.0,0.186,0.171
5.94,0.0,0.186,0.171
5.95,0.0,0.185,0.17
5.96,0.0,0.185,0.17
5.97,0.0,0.185,0.17
5.98,0.0,0.184,0.17
5.99,0.0,0.184,0.17
6.0,0.0,0.184,0.169
6.01,0.0,0.184,0.169
6.02,0.0,0.183,0.169
6.03,0.0,0.183,0.169
6.04,0.0,0.183,0.169
6.05,0.0,0.183,0.168
6.06,0.0,0.183,0.168
6.07,0.0,0.182,0.168
6.08,0.0,0.182,0.168
6.09,0.0,0.182,0.168
6.1,0.0,0.182,0.168
6.11,0.0,0.181,0.167
6.12,0.0,0.181,0.167
6.13,0.0,0.181,0.167
6.14,0.0,0.181,0.167
6.15,0.0,0.181,0.167
6.16,0.0,0.18,0.167
6.17,0.0,0.18,0.166
6.18,0.0,0.18,0.166
6.19,0.0,0.18,0.166
6.2,0.0,0.179,0.166
6.21,0.0,0.179,0.166
6.22,0.0,0.179,0.166
6.23,0.0,0.179,0.166
6.24,0.0,0.179,0.165
6.25,0.0,0.178,0.165
6.26,0.0,0.178,0.165
6.27,0.0,0.178,0.165
6.28,0.0,0.178,0.165
6.29,0.0,0.178,0.165
6.3,0.0,0.177,0.164
6.31,0.0,0.177,0.164
6.32,0.0,0.177,0.164
6.33,0.0,0.177,0.164
6.34,0.0,0.176,0.164
6.35,0.0,0.176,0.164
6.36,0.0,0.176,0.163
6.37,0.0,0.176,0.163
6.38,0.0,0.176,0.163
6.39,0.0,0.175,0.163
6.4,0.0,0.175,0.163
6.41,0.0,0.175,0.163
6.42,0.0,0.175,0.162
6.43,0.0,0.175,0.162
6.44,0.0,0.174,0.162
6.45,0.0,0.174,0.162
6.46,0.0,0.174,0.162
6.47,0.0,0.174,0.162
6.48,0.0,0.174,0.162
6.49,0.0,0.173,0.161
6.5,0.0,0.173,0.161
6.51,0.0,0.173,0.161
6.52,0.0,0.173,0.161
6.53,0.0,0.173,0.161
6.54,0.0,0.172,0.161
6.55,0.0,0.172,0.16
6.56,0.0,0.172,0.16
6.57,0.0,0.172,0.16
6.58,0.0,0.172,0.16
6.59,0.0,0.171,0.16
6.6,0.0,0.171,0.16
6.61,0.0,0.171,0.159
6.62,0.0,0.171,0.159
6.63,0.0,0.171,0.159
6.64,0.0,0.17,0.159
6.65,0.0,0.17,0.159
6.66,0.0,0.17,0.159
6.67,0.0,0.17,0.159
6.68,0.0,0.17,0.158
6.69,0.0,0.169,0.158
6.7,0.0,0.169,0.158
6.71,0.0,0.169,0.158
6.72,0.0,0.169,0.158
6.73,0.0,0.169,0.158
6.74,0.0,0.168,0.157
6.75,0.0,0.168,0.157
6.76,0.0,0.168,0.157
6.77,0.0,0.168,0.157
6.78,0.0,0.168,0.157
6.79,0.0,0.167,0.157
6.8,0.0,0.167,0.157
6.81,0.0,0.167,0.156
6.82,0.0,0.167,0.156
6.83,0.0,0.167,0.156
6.84,0.0,0.166,0.156
6.85,0.0,0.166,0.156
6.86,0.0,0.166,0.156
6.87,0.0,0.166,0.155
6.88,0.0,0.166,0.155
6.89,0.0,0.165,0.155
6.9,0.0,0.165,0.155
6.91,0.0,0.165,0.155
6.92,0.0,0.165,0.155
6.93,0.0,0.165,0.155
6.94,0.0,0.164,0.154
6.95,0.0,0.164,0.154
6.96,0.0,0.164,0.154
6.97,0.0,0.164,0.154
6.98,0.0,0.164,0.154
6.99,0.0,0.164,0.154
7.0,0.0,0.163,0.153
7.01,0.0,0.163,0.153
7.02,0.0,0.163,0.153
7.03,0.0,0.163,0.153
7.04,0.0,0.163,0.153
7.05,0.0,0.163,0.153
7.06,0.0,0.162,0.153
7.07,0.0,0.162,0.153
7.08,0.0,0.162,0.153
7.09,0.0,0.162,0.152
7.1,0.0,0.162,0.152
7.11,0.0,0.162,0.152
7.12,0.0,0.162,0.152
7.13,0.0,0.161,0.152
7.14,0.0,0.161,0.152
7.15,0.0,0.161,0.152
7.16,0.0,0.161,0.152
7.17,0.0,0.161,0.152
7.18,0.0,0.161,0.151
7.19,0.0,0.161,0.151
7.2,0.0,0.16,0.151
7.21,0.0,0.16,0.151
7.22,0.0,0.16,0.151
7.23,0.0,0.16,0.151
7.24,0.0,0.16,0.151
7.25,0.0,0.16,0.151
7.26,0.0,0.16,0.151
7.27,0.0,0.159,0.151
7.28,0.0,0.159,0.15
7.29,0.0,0.159,0.15
7.3,0.0,0.159,0.15
7.31,0.0,0.159,0.15
7.32,0.0,0.159,0.15
7.33,0.0,0.159,0.15
7.34,0.0,0.158,0.15
7.35,0.0,0.158,0.15
7.36,0.0,0.158,0.15
7.37,0.0,0.158,0.15
7.38,0.0,0.158,0.149
7.39,0.0,0.158,0.149
7.4,0.0,0.158,0.149
7.41,0.0,0.158,0.149
7.42,0.0,0.157,0.149
7.43,0.0,0.157,0.149
7.44,0.0,0.157,0.149
7.45,0.0,0.157,0.149
7.46,0.0,0.157,0.149
7.47,0.0,0.157,0.148
7.48,0.0,0.157,0.148
7.49,0.0,0.156,0.148
7.5,0.0,0.156,0.148
7.51,0.0,0.156,0.148
7.52,0.0,0.156,0.148
7.53,0.0,0.156,0.148
7.54,0.0,0.156,0.148
7.55,0.0,0.156,0.148
7.56,0.0,0.155,0.147
7.57,0.0,0.155,0.147
7.58,0.0,0.155,0.147
7.59,0.0,0.155,0.147
7.6,0.0,0.155,0.147
7.61,0.0,0.155,0.147
7.62,0.0,0.155,0.147
7.63,0.0,0.155,0.147
7.64,0.0,0.154,0.147
7.65,0.0,0.154,0.146
7.66,0.0,0.154,0.146
7.67,0.0,0.154,0.146
7.68,0.0,0.154,0.146
7.69,0.0,0.154,0.146
7.7,0.0,0.154,0.146
7.71,0.0,0.154,0.146
7.72,0.0,0.153,0.146
7.73,0.0,0.153,0.146
7.74,0.0,0.153,0.145
7.75,0.0,0.153,0.145
7.76,0.0,0.153,0.145
7.77,0.0,0.153,0.145
7.78,0.0,0.153,0.145
7.79,0.0,0.153,0.145
7.8,0.0,0.152,0.145
7.81,0.0,0.152,0.145
7.82,0.0,0.152,0.145
7.83,0.0,0.152,0.145
7.84,0.0,0.152,0.144
7.85,0.0,0.152,0.144
7.86,0.0,0.152,0.144
7.87,0.0,0.152,0.144
7.88,0.0,0.151,0.144
7.89,0.0,0.151,0.144
7.9,0.0,0.151,0.144
7.91,0.0,0.151,0.144
7.92,0.0,0.151,0.144
7.93,0.0,0.151,0.144
7.94,0.0,0.151,0.143
7.95,0.0,0.151,0.143
7.96,0.0,0.15,0.143
7.97,0.0,0.15,0.143
7.98,0.0,0.15,0.143
7.99,0.0,0.15,0.143
8.0,0.0,0.15,0.143
8.01,0.0,0.15,0.143
8.02,0.0,0.15,0.143
8.03,0.0,0.15,0.143
8.04,0.0,0.15,0.142
8.05,0.0,0.149,0.142
8.06,0.0,0.149,0.142
8.07,0.0,0.149,0.142
8.08,0.0,0.149,0.142
8.09,0.0,0.149,0.142
8.1,0.0,0.149,0.142
8.11,0.0,0.149,0.142
8.12,0.0,0.149,0.142
8.13,0.0,0.149,0.142
8.14,0.0,0.148,0.141
8.15,0.0,0.148,0.141
8.16,0.0,0.148,0.141
8.17,0.0,0.148,0.141
8.18,0.0,0.148,0.141
8.19,0.0,0.148,0.141
8.2,0.0,0.148,0.141
8.21,0.0,0.148,0.141
8.22,0.0,0.148,0.141
8.23,0.0,0.147,0.141
8.24,0.0,0.147,0.14
8.25,0.0,0.147,0.14
8.26,0.0,0.147,0.14
8.27,0.0,0.147,0.14
8.28,0.0,0.147,0.14
8.29,0.0,0.147,0.14
8.3,0.0,0.147,0.14
8.31,0.0,0.147,0.14
8.32,0.0,0.146,0.14
8.33,0.0,0.146,0.14
8.34,0.0,0.146,0.14
8.35,0.0,0.146,0.139
8.36,0.0,0.146,0.139
8.37,0.0,0.146,0.139
8.38,0.0,0.146,0.139
8.39,0.0,0.146,0.139
8.4,0.0,0.146,0.139
8.41,0.0,0.146,0.139
8.42,0.0,0.145,0.139
8.43,0.0,0.145,0.139
8.44,0.0,0.145,0.139
8.45,0.0,0.145,0.139
8.46,0.0,0.145,0.138
8.47,0.0,0.145,0.138
8.48,0.0,0.145,0.138
8.49,0.0,0.145,0.138
8.5,0.0,0.145,0.138
8.51,0.0,0.145,0.138
8.52,0.0,0.144,0.138
8.53,0.0,0.144,0.138
8.54,0.0,0.144,0.138
8.55,0.0,0.144,0.138
8.56,0.0,0.144,0.138
8.57,0.0,0.144,0.138
8.58,0.0,0.144,0.137
8.59,0.0,0.144,0.137
8.6,0.0,0.144,0.137
8.61,0.0,0.144,0.137
8.62,0.0,0.143,0.137
8.63,0.0,0.143,0.137
8.64,0.0,0.143,0.137
8.65,0.0,0.143,0.137
8.66,0.0,0.143,0.137
8.67,0.0,0.143,0.137
8.68,0.0,0.143,0.137
8.69,0.0,0.143,0.137
8.7,0.0,0.143,0.136
8.71,0.0,0.143,0.136
8.72,0.0,0.142,0.136
8.73,0.0,0.142,0.136
